"Scott 1800 Heavy Duty Tab Laminator - Air Powered - Pontiac, MI",$429.00 ,6/30/2016,WireBids,$390.00 ,10.00%,'8S-21636,https://www.wirebids.com/lots/view/scott-1800-heavy-duty-tab-laminator-air-powered-pontiac-mi/27313
"Bindomatic 301 DFS - Inline or Offline Perfect Binding System - Pontiac, MI",$319.00 ,6/30/2016,WireBids,$290.00 ,10.00%,'084701,https://www.wirebids.com/lots/view/bindomatic-301-dfs-inline-or-offline-perfect-binding-system-pontiac-mi/27314
"Baum 714-XLT 14x20 Air Feed Paper Folder - Pontiac, MI","$1,925.00 ",6/30/2016,WireBids,"$1,750.00 ",10.00%,-,https://www.wirebids.com/lots/view/baum-714-xlt-14x20-air-feed-paper-folder-pontiac-mi/27315
"Fennimore 922 Sidewinder Collator and Booklet-Maker - Des Moines, IA - Click here for Video!","$1,100.00 ",6/30/2016,WireBids,"$1,000.00 ",10.00%,-,https://www.wirebids.com/lots/view/fennimore-922-sidewinder-collator-and-booklet-maker-des-moines-ia-click-here-for-video-1/27317
"Bourg BST-10 with Optional Stacker - Amherst, NH",$330.00 ,6/30/2016,WireBids,$300.00 ,10.00%,-,https://www.wirebids.com/lots/view/bourg-bst-10-with-optional-stacker-amherst-nh/27318
"C.P. Bourg BST-20 with Stitcher, Folder and Trimmer (1998) and TD Stacker - Amherst, NH","$3,355.00 ",6/30/2016,WireBids,"$3,050.00 ",10.00%,-,https://www.wirebids.com/lots/view/c-p-bourg-bst-20-with-stitcher-folder-and-trimmer-1998-and-td-stacker-amherst-nh-1/27338
"Nagel Foldnak 8 Bookletmaker - Kennesaw, GA",$671.00 ,6/30/2016,WireBids,$610.00 ,10.00%,-,https://www.wirebids.com/lots/view/nagel-foldnak-8-bookletmaker-kennesaw-ga/27321
"Accufast Post-it-Note / Label Applicator - Kennesaw, GA",$792.00 ,6/30/2016,WireBids,$720.00 ,10.00%,-,https://www.wirebids.com/lots/view/accufast-post-it-note-label-applicator-kennesaw-ga/27328
"Konica Minolta Bizhub 1050e Black Laser Printer - Harahan, LA",$671.00 ,6/30/2016,WireBids,$610.00 ,10.00%,-,https://www.wirebids.com/lots/view/konica-minolta-bizhub-1050e-black-laser-printer-harahan-la-1/27322
"2011 Mail Right T 3X Inline Inkjet - Ft. Lauderdale, FL","$1,540.00 ",6/30/2016,WireBids,"$1,400.00 ",10.00%,'26287,https://www.wirebids.com/lots/view/2011-mail-right-t-3x-inline-inkjet-ft-lauderdale-fl-1/27324
"Kirk-Rudy Winkjet Inkjet System With 3""ù of Print - Gastonia, NY","$2,200.00 ",6/30/2016,WireBids,"$2,000.00 ",10.00%,-,https://www.wirebids.com/lots/view/kirk-rudy-winkjet-inkjet-system-with-3%26rdquo%3B-of-print-gastonia-ny/27326
"HP Designjet Z6100 60-in Printer - Jacksonville, FL - Click for Video!",$671.00 ,6/30/2016,WireBids,$610.00 ,10.00%,-,https://www.wirebids.com/lots/view/hp-designjet-z6100-60-in-printer-jacksonville-fl-click-for-video/27327
"Canon ImageRunner Advance C5045 with Booklet Maker and Fiery Imageclass, Color Digital Press - Dallas, TX - Click for Video!","$1,320.00 ",6/30/2016,WireBids,"$1,200.00 ",10.00%,-,https://www.wirebids.com/lots/view/canon-imagerunner-advance-c5045-with-booklet-maker-and-fiery-imageclass-color-digital-press-dallas-tx-click-for-video/27320
"Hasler M3000 Folder, Inserter, Sealer, Two Feeders - Dallas, TX - Click for Video!","$1,705.00 ",6/30/2016,WireBids,"$1,550.00 ",10.00%,-,https://www.wirebids.com/lots/view/hasler-m3000-folder-inserter-sealer-two-feeders-dallas-tx-click-for-video/27329
"Xerox ColorQube MFP 8700X Color Solid Ink - Dallas, TX - Click for Video!",$240.90 ,6/30/2016,WireBids,$219.00 ,10.00%,-,https://www.wirebids.com/lots/view/xerox-colorqube-mfp-8700x-color-solid-ink-dallas-tx-click-for-video/27330
"Xerox Workcentre 5775 - Dallas, TX",$341.00 ,6/30/2016,WireBids,$310.00 ,10.00%,-,https://www.wirebids.com/lots/view/xerox-workcentre-5775-dallas-tx/27341
"Canon ImageRunner C3080 Color Printer, Copier and Scanner - Dallas, TX",$222.20 ,6/30/2016,WireBids,$202.00 ,10.00%,-,https://www.wirebids.com/lots/view/canon-imagerunner-c3080-color-printer-copier-and-scanner-dallas-tx/27331
"2004 Heidelberg QM46/2 Color Printmaster - Nashville, TN","$2,750.00 ",6/30/2016,WireBids,"$2,500.00 ",10.00%,-,https://www.wirebids.com/lots/view/2004-heidelberg-qm46-2-color-printmaster-nashville-tn/27333
"AB Dick Century 3000  2 Color Press - Nashville, TN",$297.00 ,6/30/2016,WireBids,$270.00 ,10.00%,-,https://www.wirebids.com/lots/view/ab-dick-century-3000-2-color-press-nashville-tn/27334
"Challenge 5-Hole Drill - Nashville, TN",$858.00 ,6/30/2016,WireBids,$780.00 ,10.00%,-,https://www.wirebids.com/lots/view/challenge-5-hole-drill-nashville-tn/27335
"Strate Flo Continous Envelope Feeder - Nashville, TN",$222.20 ,6/30/2016,WireBids,$202.00 ,10.00%,-,https://www.wirebids.com/lots/view/strate-flo-continous-envelope-feeder-nashville-tn/27336
OKI ES 3640e MFP - multifunction printer (color),$446.90 ,6/29/2016,Boggs Graphics Equipment,$410.00 ,9.00%,-,https://www.wirebids.com/lots/view/oki-es-3640e-mfp-multifunction-printer-color/27139
3M-Matic 700RKS Random Case Sealer / Box Taper,$806.60 ,6/29/2016,Boggs Graphics Equipment,$740.00 ,9.00%,-,https://www.wirebids.com/lots/view/3m-matic-700rks-random-case-sealer-box-taper/27084
Cyklop Beta-100 Plastic Strapping Machine,$479.60 ,6/29/2016,Boggs Graphics Equipment,$440.00 ,9.00%,'8072307,https://www.wirebids.com/lots/view/cyklop-beta-100-plastic-strapping-machine-1/27040
DestroyIt 4104 Conveyor Feed Industrial Shredder,"$1,907.50 ",6/29/2016,Boggs Graphics Equipment,"$1,750.00 ",9.00%,-,https://www.wirebids.com/lots/view/destroyit-4104-conveyor-feed-industrial-shredder/26975
Hobart HS-1730 Shrink Wrap System,"$1,199.00 ",6/29/2016,Boggs Graphics Equipment,"$1,100.00 ",9.00%,-,https://www.wirebids.com/lots/view/-hobart-hs-1730-shrink-wrap-system/26980
Fox SLP Pallet Wrapping Machine - Click Here for Video!,"$4,033.00 ",6/29/2016,Boggs Graphics Equipment,"$3,700.00 ",9.00%,-,https://www.wirebids.com/lots/view/fox-slp-pallet-wrapping-machine-click-here-for-video/27140
Scott Heavy Duty Index Tabcutting Machine,"$2,343.50 ",6/29/2016,Boggs Graphics Equipment,"$2,150.00 ",9.00%,-,https://www.wirebids.com/lots/view/scott-heavy-duty-index-tabcutting-machine-1/26892
Accufast KT Two Head Tabber / Wafer Sealer and Accufast FX Feeder,"$2,234.50 ",6/29/2016,Boggs Graphics Equipment,"$2,050.00 ",9.00%,-,https://www.wirebids.com/lots/view/accufast-kt-two-head-tabber-wafer-sealer-and-accufast-fx-feeder-1/27117
1997 Rosback 220A Perf / Slit / Score Machine - Click to See Video!,"$1,580.50 ",6/29/2016,Boggs Graphics Equipment,"$1,450.00 ",9.00%,'220A971547,https://www.wirebids.com/lots/view/1997-rosback-220a-perf-slit-score-machine-click-to-see-video-1/27044
"Ledco Digital 42"" Roll Laminator - Click Here for Video!","$3,706.00 ",6/29/2016,Boggs Graphics Equipment,"$3,400.00 ",9.00%,'D-42A-1077,https://www.wirebids.com/lots/view/ledco-digital-42-roll-laminator-click-here-for-video/27113
Morgana Digicreaser,"$4,087.50 ",6/29/2016,Boggs Graphics Equipment,"$3,750.00 ",9.00%,-,https://www.wirebids.com/lots/view/morgana-digicreaser-/27164
Graphic Whizard GW 6000 Numbering / Perf / Score / Slit Machine - Click Here for Video!,"$1,907.50 ",6/29/2016,Boggs Graphics Equipment,"$1,750.00 ",9.00%,-,https://www.wirebids.com/lots/view/graphic-whizard-gw-6000-numbering-perf-score-slit-machine-click-here-for-video/27114
1997 Challenge Titan 200 Hydraulic Programmable Paper Cutter - Click Here for Video!,"$3,270.00 ",6/29/2016,Boggs Graphics Equipment,"$3,000.00 ",9.00%,'971111,https://www.wirebids.com/lots/view/1997-challenge-titan-200-hydraulic-programmable-paper-cutter-click-here-for-video/26992
Kirk Rudy 527 2-Inch Tabber,$686.70 ,6/29/2016,Boggs Graphics Equipment,$630.00 ,9.00%,-,https://www.wirebids.com/lots/view/kirk-rudy-527-2-inch-tabber-1/26906
Stahl T36 Mini Paper Folder - Pile Feeder - 4 Fold Plates w/ 8 Page Unit - Click Here for Video!,"$6,158.50 ",6/29/2016,Boggs Graphics Equipment,"$5,650.00 ",9.00%,'28674-112188,https://www.wirebids.com/lots/view/stahl-t36-mini-paper-folder-pile-feeder-4-fold-plates-w-8-page-unit-click-here-for-video/26914
"Heidelberg 13"" x 18"" Windmill Letterpress / Diecutter with Inker","$3,597.00 ",6/29/2016,Boggs Graphics Equipment,"$3,300.00 ",9.00%,'53 117 E,https://www.wirebids.com/lots/view/heidelberg-13-x-18-windmill-letterpress-diecutter-with-inker-1/26888
KANSA Padding System,"$1,362.50 ",6/29/2016,Boggs Graphics Equipment,"$1,250.00 ",9.00%,-,https://www.wirebids.com/lots/view/kansa-padding-system/26912
Kodak Versamark DS4350 UV Printing System - Click here for Video!,"$7,521.00 ",6/29/2016,Boggs Graphics Equipment,"$6,900.00 ",9.00%,-,https://www.wirebids.com/lots/view/kodak-versamark-ds4350-uv-printing-system-click-here-for-video/27115
Konica BizHub 5500 Digital Press,"$3,215.50 ",6/29/2016,Boggs Graphics Equipment,"$2,950.00 ",9.00%,-,https://www.wirebids.com/lots/view/konica-bizhub-5500-digital-press-1/27055
1977 Heidelberg GTO 46 Single Color Printing Press,"$3,815.00 ",6/29/2016,Boggs Graphics Equipment,"$3,500.00 ",9.00%,'659998,https://www.wirebids.com/lots/view/1977-heidelberg-gto-46-single-color-printing-press/26998
2008 Kodak Nexpress S3000 Digital Production Color Press w/ Gloss Coating attachment,"$9,537.50 ",6/29/2016,Boggs Graphics Equipment,"$8,750.00 ",9.00%,'2163-VC,https://www.wirebids.com/lots/view/2008-kodak-nexpress-s3000-digital-production-color-press-w-gloss-coating-attachment/27221
2002 Pitney Bowes Flowmaster 12000 Inserter - Click Here for Video!,"$20,492.00 ",6/29/2016,Boggs Graphics Equipment,"$18,800.00 ",9.00%,'02011096,https://www.wirebids.com/lots/view/2002-pitney-bowes-flowmaster-12000-inserter-click-here-for-video/27216
2006 Heidelberg Prosetter 74 (model 2165) Computer to Plate System w/ RIP,"$7,684.50 ",6/29/2016,Boggs Graphics Equipment,"$7,050.00 ",9.00%,'054040910,https://www.wirebids.com/lots/view/2006-heidelberg-prosetter-74-model-2165-computer-to-plate-system-w-rip-1/26884
"1997 MBO B123-C Continuous Feed Paper Folder w/ 8 Page Unit, 16 Page Unit, and Roll-Away Stacking Unit - Glue Plates and Rollers on Parallel and 8 Page - Click Here for Video!","$4,305.50 ",6/29/2016,Boggs Graphics Equipment,"$3,950.00 ",9.00%,'M.07/72,https://www.wirebids.com/lots/view/1997-mbo-b123-c-continuous-feed-paper-folder-w-8-page-unit-16-page-unit-and-roll-away-stacking-unit-glue-plates-and-rollers-on-parallel-and-8-page-click-here-for-video/27041
2011 ABG Omega 1300 Digital Web Laminator / Sheeter - Digitally Printed Web Hot Lamination and Sheeting Machine - Click Here for Video!,"$13,625.00 ",6/29/2016,Boggs Graphics Equipment,"$12,500.00 ",9.00%,-,https://www.wirebids.com/lots/view/2011-abg-omega-1300-digital-web-laminator-sheeter-digitally-printed-web-hot-lamination-and-sheeting-machine-click-here-for-video/27092
"1995 Pro-Cut 320 MPS 32"" Programmable Paper Cutter - Click Here for Video!","$3,488.00 ",6/29/2016,Boggs Graphics Equipment,"$3,200.00 ",9.00%,-,https://www.wirebids.com/lots/view/1995-pro-cut-320-mps-32-programmable-paper-cutter-click-here-for-video/27181
2007 Baum 2020 Pile Feed Paper Folder w/ 8 Page 2nd Folding Station and Gluing System - Click Here for Video!,"$11,990.00 ",6/29/2016,Boggs Graphics Equipment,"$11,000.00 ",9.00%,'130TI0061,https://www.wirebids.com/lots/view/2007-baum-2020-pile-feed-paper-folder-w-8-page-2nd-folding-station-and-gluing-system-click-here-for-video/27096
"Duplo DC-10000S Two Tower 20 Bin Vacuum Feed Bookletmaking System - Two Collating Towers with Stitch, Fold, Trim, and Stack","$4,414.50 ",6/29/2016,Boggs Graphics Equipment,"$4,050.00 ",9.00%,-,https://www.wirebids.com/lots/view/duplo-dc-10000s-two-tower-20-bin-vacuum-feed-bookletmaking-system-two-collating-towers-with-stitch-fold-trim-and-stack-1/26903
"1977 Heidelberg KORD 64 (Gray Model) Printing Press 18 X 25 1/4"" - Long Box S/N 353675","$10,900.00 ",6/29/2016,Boggs Graphics Equipment,"$10,000.00 ",9.00%,'353675,https://www.wirebids.com/lots/view/1977-heidelberg-kord-64-gray-model-printing-press-18-x-25-1-4-long-box-s-n-353675/27141
"GBC Sickinger Punch Model USP13 w/ 4 ea. Punch Dies (Ships from Carthagena, OH)","$8,284.00 ",6/29/2016,Boggs Graphics Equipment,"$7,600.00 ",9.00%,-,https://www.wirebids.com/lots/view/gbc-sickinger-punch-model-usp13-w-4-ea-punch-dies-ships-from-carthagena-oh/27083
"Adast Dominant 725A P Two Color Offset Press 20x26"", Royse Chiller, Plate Punch","$7,412.00 ",6/29/2016,Boggs Graphics Equipment,"$6,800.00 ",9.00%,'12074,https://www.wirebids.com/lots/view/adast-dominant-725a-p-two-color-offset-press-20x26-royse-chiller-plate-punch/27211
Graphic Whizard Creasemaster Pro - Click Here for Video!,"$1,471.50 ",6/29/2016,Boggs Graphics Equipment,"$1,350.00 ",9.00%,-,https://www.wirebids.com/lots/view/graphic-whizard-creasemaster-pro-click-here-for-video/27111
1987 Heidelberg GTOZ-52 2-Color Offset Printing Press -Alcolor Dampening,"$11,445.00 ",6/29/2016,Boggs Graphics Equipment,"$10,500.00 ",9.00%,'690998,https://www.wirebids.com/lots/view/1987-heidelberg-gtoz-52-2-color-offset-printing-press-alcolor-dampening-1/27043
MBO T-49 Paper Folder w/ 8 Page and 16 Page Right Angles - Click here for Video!,"$3,270.00 ",6/29/2016,Boggs Graphics Equipment,"$3,000.00 ",9.00%,'I 01/52,https://www.wirebids.com/lots/view/mbo-t-49-paper-folder-w-8-page-and-16-page-right-angles-click-here-for-video/26995
"1997 Royocut S32Comp+ 32"" Paper Cutter with MicroCut Jr","$2,616.00 ",6/29/2016,Boggs Graphics Equipment,"$2,400.00 ",9.00%,'16840II,https://www.wirebids.com/lots/view/1997-royocut-s32comp-32-paper-cutter-with-microcut-jr/26988
"1970 Heidelberg Windmill 10"" x 15"" Letterpress - Red Ball","$2,779.50 ",6/29/2016,Boggs Graphics Equipment,"$2,550.00 ",9.00%,-,https://www.wirebids.com/lots/view/1970-heidelberg-windmill-10-x-15-letterpress-red-ball/27095
GBC Digicoil Coil Inserter - Click Here for Video!,"$3,978.50 ",6/29/2016,Boggs Graphics Equipment,"$3,650.00 ",9.00%,-,https://www.wirebids.com/lots/view/gbc-digicoil-coil-inserter-click-here-for-video-1/26886
"1975 Heidelberg KORD (Gray Model) Printing Press 18 X 25 1/4"" - Long Box S/N 349918","$9,755.50 ",6/29/2016,Boggs Graphics Equipment,"$8,950.00 ",9.00%,'349918,https://www.wirebids.com/lots/view/1975-heidelberg-kord-gray-model-printing-press-18-x-25-1-4-long-box-s-n-349918/27099
Morgana Major Paper Folder - Click Here for Video!,"$3,270.00 ",6/29/2016,Boggs Graphics Equipment,"$3,000.00 ",9.00%,-,https://www.wirebids.com/lots/view/morgana-major-paper-folder-click-here-for-video/27163
